afb,alb,afh,alh
1,2,0.428571428571429,0.571428571428571
2,2,0.6,0.6
1,2,0.5,0.333333333333333
1,2,0.333333333333333,0.333333333333333
1,2,0.428571428571429,0.5
1,1,0.5,0.333333333333333
1,2,0.428571428571429,0.428571428571429
1,1,0.666666666666667,0.2
1,2,0.142857142857143,0.833333333333333
1,2,0.142857142857143,0.857142857142857
2,1,0.5,0.5
1,2,0.285714285714286,0.666666666666667
1,1,0.5,0.5
1,2,0.375,0.714285714285714
2,1,0.428571428571429,0.5
1,2,0.5,0.625
1,1,0.333333333333333,0.4
2,2,0.75,0.285714285714286
1,2,0.25,0.875
1,2,0.166666666666667,0.833333333333333
1,2,0.285714285714286,0.571428571428571
1,2,0.333333333333333,0.5
2,2,0.428571428571429,0.5
2,1,0.571428571428571,0.333333333333333
1,2,0.333333333333333,0.333333333333333
1,2,0.285714285714286,0.5
1,2,0.125,0.875
2,1,0.285714285714286,0.571428571428571
1,2,0.142857142857143,1
1,1,0.5,0.571428571428571
1,1,0.5,0.625
1,1,0.333333333333333,0.333333333333333
1,1,0.333333333333333,0.5
