allb_1,allb_2,allb_3,allb_4,allb_5,allb_6,allb_7,allb_8,allb_9,allb_10,allb_11,allb_12,allb_13,allb_14,allb_15,allb_16,allb_17,allb_18,allb_19,allb_20
1,1,2,1,1,2,2,1,2,1,1,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2
1,1,2,2,2,1,2,1,1,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,2,1,2,1,2,1,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,2,1,2,2,2,1,1,1,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2,2,2,1,1,2,2,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,2,1,2,2,1,2,1,1,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2,1,2,2,1,1,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,1,1,2,1,2,1,2,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,2,1,1,1,2,2,2,2,1,2,2,NaN,NaN,NaN,NaN,NaN,NaN
2,2,1,2,1,1,2,1,2,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2,1,1,1,1,2,1,2,1,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,NaN,NaN,NaN,NaN
1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,NaN,NaN,NaN,NaN,NaN
2,2,1,1,2,1,1,2,1,2,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,NaN,NaN,NaN,NaN
1,1,1,2,2,1,2,2,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,NaN,NaN,NaN,NaN,NaN
1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,NaN,NaN,NaN,NaN
1,1,2,1,1,1,2,2,1,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,1,2,2,1,1,2,2,1,1,2,2,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,2,1,2,1,1,1,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,2,1,2,1,2,1,2,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,2,1,2,2,1,1,2,1,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1,2,1,1,1,2,1,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2,1,1,1,2,1,1,1,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,NaN,NaN,NaN,NaN
2,2,1,1,1,1,1,2,1,1,2,2,2,1,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,1,2,1,1,2,2,2,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,NaN,NaN,NaN,NaN,NaN
1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,NaN,NaN,NaN,NaN
1,1,1,1,2,2,1,1,2,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,2,1,1,2,1,2,1,2,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
